,UniqueID,Goal,Target,Indicator,SeriesCode,SeriesDescription,Source,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,
304,IS_RDP_PORFVOL     SEA                    ,9.0,9.1,9.1.2,IS_RDP_PORFVOL,"Container port traffic, maritime transport (twenty-foot equivalent units - TEUs)","Source: UNCTAD Review of Maritime Transport, 2020 and UNCTADstat ( https://unctadstat.unctad.org/wds/TableViewer/tableView.aspx).",1135554.0,1211561.0,1263476.0,1350920.0,1470101.0,1390000.0,1530600.0,1529000.0,,,
305,IT_MOB_2GNTWK                         ,9.0,9.c,9.c.1,IT_MOB_2GNTWK,Proportion of population covered by at least a 2G mobile network (%),Superintendencia de Telecomunicaciones,,,,,100.0,,,,,,
306,IT_MOB_2GNTWK                         ,9.0,9.c,9.c.1,IT_MOB_2GNTWK,Proportion of population covered by at least a 2G mobile network (%),Superintendencia de Telecomunicaciones (SIT),100.0,100.0,100.0,100.0,,,,,,,
307,IT_MOB_3GNTWK                         ,9.0,9.c,9.c.1,IT_MOB_3GNTWK,Proportion of population covered by at least a 3G mobile network (%),Superintendencia de Telecomunicaciones,,,,,95.0,95.0,95.0,95.0,,,
308,IT_MOB_3GNTWK                         ,9.0,9.c,9.c.1,IT_MOB_3GNTWK,Proportion of population covered by at least a 3G mobile network (%),Superintendencia de Telecomunicaciones (SIT),53.0,86.0,92.0,92.0,,,,,,,
309,IT_MOB_4GNTWK                         ,9.0,9.c,9.c.1,IT_MOB_4GNTWK,Proportion of population covered by at least a 4G mobile network (%),ITU estimate.,,,10.0,20.7,,,,,,,
310,IT_MOB_4GNTWK                         ,9.0,9.c,9.c.1,IT_MOB_4GNTWK,Proportion of population covered by at least a 4G mobile network (%),Superintendencia de Telecomunicaciones,,,,,40.35,40.35,,,,,
311,IT_NET_BBND      ANYS                   ,17.0,17.6,17.6.1,IT_NET_BBND,"Fixed Internet broadband subscriptions per 100 inhabitants, by speed (per 100 inhabitants)","Data based on the World Telecommunication/ICT Indicators Database, 2020, International Telecommunication Union (ITU)",1.83555,2.26231,2.72391,2.8294,3.0513,3.13923,,,,,
312,IT_NET_BBNDN      ANYS                   ,17.0,17.6,17.6.1,IT_NET_BBNDN,"Number of fixed Internet broadband subscriptions, by speed (number)",Superintendencia de Telecomunicaciones,,,,,506000.0,531000.0,,,,,
313,IT_NET_BBNDN      ANYS                   ,17.0,17.6,17.6.1,IT_NET_BBNDN,"Number of fixed Internet broadband subscriptions, by speed (number)",Superintendencia de Telecomunicaciones (SIT),280302.0,352826.0,433734.0,459847.0,,,,,,,
314,IT_USE_ii99                         ,17.0,17.8,17.8.1,IT_USE_ii99,Internet users per 100 inhabitants,ITU Estimate.,,,,,34.50933,,,,,,
315,IT_USE_ii99                         ,17.0,17.8,17.8.1,IT_USE_ii99,Internet users per 100 inhabitants,ITU estimate.,16.0,19.7,23.4,28.80594,,40.70305,,,,,
316,NE_CON_GOVT_KD_ZG                         ,17.0,17.13,17.13.1,NE_CON_GOVT_KD_ZG,Annual growth of the general government final consumption expenditure (%),"World Bank national accounts data, and OECD National Accounts data files.",5.839,5.6448,3.6364,0.9431,-3.063,2.0588,6.7261,2.4728,1.6049,,
317,NE_EXP_GNFS_KD_ZG                         ,17.0,17.13,17.13.1,NE_EXP_GNFS_KD_ZG,Annual growth of exports of goods and services (%),"World Bank national accounts data, and OECD National Accounts data files.",1.7536,6.6627,6.9273,2.8377,2.359,1.4901,-0.3114,0.0801,-4.4492,,
318,NE_GDI_TOTL_KD_ZG                         ,17.0,17.13,17.13.1,NE_GDI_TOTL_KD_ZG,Annual growth of the gross capital formation (%),"World Bank national accounts data, and OECD National Accounts data files.",1.7795,-1.3862,-1.2916,1.3265,-4.0486,4.3103,5.4497,8.0372,-9.2484,,
319,NE_IMP_GNFS_KD_ZG                         ,17.0,17.13,17.13.1,NE_IMP_GNFS_KD_ZG,Annual growth of imports of goods and services (%),"World Bank national accounts data, and OECD National Accounts data files.",2.7919,4.2588,3.3702,3.648,0.9424,2.8248,3.927,4.9108,-4.6033,,
320,NV_IND_MANF                     ISIC4_C    ,9.0,9.2,9.2.1,NV_IND_MANF,Manufacturing value added (constant 2015 United States dollars) as a proportion of GDP (%),UNIDO MVA 2021 Database. Available at https://stat.unido.org,14.56,14.53,14.38,14.33,14.37,14.35,14.35,14.25,14.68,,
321,NV_IND_MANFPC                     ISIC4_C    ,9.0,9.2,9.2.1,NV_IND_MANFPC,Manufacturing value added per capita (constant 2015 United States dollars),UNIDO MVA 2021 Database. Available at https://stat.unido.org,526.0,532.8,539.7,548.2,553.2,558.1,564.9,571.4,567.3,,
322,NV_IND_MANF_CD                     ISIC4_C    ,9.0,9.2,9.2.1,NV_IND_MANF_CD,Manufacturing value added (current United States dollars) as a proportion of GDP (%),UNIDO MVA 2021 Database. Available at https://stat.unido.org,14.45,14.42,14.08,14.33,14.19,14.14,13.98,13.79,,,
323,NV_IND_TECH                     ISIC4_C    ,9.0,9.b,9.b.1,NV_IND_TECH,Proportion of medium and high-tech manufacturing value added in total value added (%),UNIDO CIP 2020 Database. Available at https://stat.unido.org,22.4,22.4,22.4,22.4,22.4,22.4,22.4,,,,
324,NY_GDP_MKTP_KD_ZG                         ,17.0,17.13,17.13.1,NY_GDP_MKTP_KD_ZG,Annual GDP growth (%),"World Bank national accounts data, and OECD National Accounts data files.",2.9747,3.6948,4.444,4.0922,2.6778,3.0799,3.3221,3.8669,-1.5193,,
325,NY_GDP_PCAP                         ,8.0,8.1,8.1.1,NY_GDP_PCAP,Annual growth rate of real GDP per capita (%),"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",0.8,1.54,2.3,1.98,0.63,1.0,1.22,1.88,,,
326,PD_AGR_LSFP BOTHSEX                        ,2.0,2.3,2.3.1,PD_AGR_LSFP,"Productivity of large-scale food producers (agricultural output per labour day, PPP) (constant 2011 international $)",,,,,,,,,,,,
327,PD_AGR_LSFP FEMALE                        ,2.0,2.3,2.3.1,PD_AGR_LSFP,"Productivity of large-scale food producers (agricultural output per labour day, PPP) (constant 2011 international $)",,,,,,,,,,,,
328,PD_AGR_LSFP MALE                        ,2.0,2.3,2.3.1,PD_AGR_LSFP,"Productivity of large-scale food producers (agricultural output per labour day, PPP) (constant 2011 international $)",,,,,,,,,,,,
329,PD_AGR_SSFP BOTHSEX                        ,2.0,2.3,2.3.1,PD_AGR_SSFP,"Productivity of small-scale food producers (agricultural output per labour day, PPP) (constant 2011 international $)",,,,,,,,,,,,
330,PD_AGR_SSFP FEMALE                        ,2.0,2.3,2.3.1,PD_AGR_SSFP,"Productivity of small-scale food producers (agricultural output per labour day, PPP) (constant 2011 international $)",,,,,,,,,,,,
331,PD_AGR_SSFP MALE                        ,2.0,2.3,2.3.1,PD_AGR_SSFP,"Productivity of small-scale food producers (agricultural output per labour day, PPP) (constant 2011 international $)",,,,,,,,,,,,
332,SD_CPA_UPRDP                         ,11.0,11.a,11.a.1,SD_CPA_UPRDP,Countries that have national urban policies or regional development plans that respond to population dynamics; ensure balanced territorial development; and increase local fiscal space (1 = YES; 0 = NO),NUP 2020 Status,,,,,,,,,1.0,,
333,SD_MDP_ANDI BOTHSEX         ALLAREA        ALLAGE       ,1.0,1.2,1.2.2,SD_MDP_ANDI,Average proportion of deprivations for people multidimensionally poor (%),Ministry of Social Development,,,48.6,,,,,,,,
334,SD_MDP_ANDI BOTHSEX         RURAL        ALLAGE       ,1.0,1.2,1.2.2,SD_MDP_ANDI,Average proportion of deprivations for people multidimensionally poor (%),Ministry of Social Development,,,50.8,,,,,,,,
335,SD_MDP_ANDI BOTHSEX         URBAN        ALLAGE       ,1.0,1.2,1.2.2,SD_MDP_ANDI,Average proportion of deprivations for people multidimensionally poor (%),Ministry of Social Development,,,44.0,,,,,,,,
336,SD_MDP_MUHC BOTHSEX         ALLAREA        <6Y       ,1.0,1.2,1.2.2,SD_MDP_MUHC,Proportion of population living in multidimensional poverty (%),Ministry of Social Development,,,67.9,,,,,,,,
337,SD_MDP_MUHC BOTHSEX         ALLAREA        ALLAGE       ,1.0,1.2,1.2.2,SD_MDP_MUHC,Proportion of population living in multidimensional poverty (%),Ministry of Social Development,,,61.6,,,,,,,,
338,SD_MDP_MUHC BOTHSEX         RURAL        ALLAGE       ,1.0,1.2,1.2.2,SD_MDP_MUHC,Proportion of population living in multidimensional poverty (%),Ministry of Social Development,,,82.5,,,,,,,,
339,SD_MDP_MUHC BOTHSEX         URBAN        ALLAGE       ,1.0,1.2,1.2.2,SD_MDP_MUHC,Proportion of population living in multidimensional poverty (%),Ministry of Social Development,,,40.3,,,,,,,,
340,SD_MDP_MUHC FEMALE         ALLAREA        ALLAGE       ,1.0,1.2,1.2.2,SD_MDP_MUHC,Proportion of population living in multidimensional poverty (%),Ministry of Social Development,,,60.7,,,,,,,,
341,SD_MDP_MUHC MALE         ALLAREA        ALLAGE       ,1.0,1.2,1.2.2,SD_MDP_MUHC,Proportion of population living in multidimensional poverty (%),Ministry of Social Development,,,62.6,,,,,,,,
342,SD_XPD_ESED                         ,1.0,1.a,1.a.2,SD_XPD_ESED,"Proportion of total government spending on essential services, education (%)",UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,21.10514,20.63795,21.95939,24.0855,23.43475,23.08805,23.74954,23.75538,,,
343,SE_ACS_CMPTR         LOWSEC                ,4.0,4.a,4.a.1,SE_ACS_CMPTR,"Proportion of schools with access to computers for pedagogical purposes, by education level (%)",UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,,,,44.00543,,,,,,
344,SE_ACS_CMPTR         PRIMAR                ,4.0,4.a,4.a.1,SE_ACS_CMPTR,"Proportion of schools with access to computers for pedagogical purposes, by education level (%)",UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,,,,12.46362,,,,,,
345,SE_ACS_CMPTR         SECOND                ,4.0,4.a,4.a.1,SE_ACS_CMPTR,"Proportion of schools with access to computers for pedagogical purposes, by education level (%)",UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,,,,51.89712,,,,,,
346,SE_ACS_CMPTR         UPPSEC                ,4.0,4.a,4.a.1,SE_ACS_CMPTR,"Proportion of schools with access to computers for pedagogical purposes, by education level (%)",UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,,,,66.35747,,,,,,
347,SE_ACS_INTNT         LOWSEC                ,4.0,4.a,4.a.1,SE_ACS_INTNT,"Proportion of schools with access to the internet for pedagogical purposes, by education level (%)",UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,,,,35.65872,,,,,,
348,SE_ACS_INTNT         PRIMAR                ,4.0,4.a,4.a.1,SE_ACS_INTNT,"Proportion of schools with access to the internet for pedagogical purposes, by education level (%)",UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,,,,9.11642,,,,,,
349,SE_ACS_INTNT         SECOND                ,4.0,4.a,4.a.1,SE_ACS_INTNT,"Proportion of schools with access to the internet for pedagogical purposes, by education level (%)",UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,,,,44.0131,,,,,,
350,SE_ACS_INTNT         UPPSEC                ,4.0,4.a,4.a.1,SE_ACS_INTNT,"Proportion of schools with access to the internet for pedagogical purposes, by education level (%)",UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,,,,59.32127,,,,,,
351,SE_ACS_SANIT         PRIMAR                ,4.0,4.a,4.a.1,SE_ACS_SANIT,"Proportion of schools with access to access to single-sex basic sanitation, by education level (%)",UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,,,,76.20397,,,,,,
352,SE_ADT_EDUCTRN BOTHSEX                        ,4.0,4.3,4.3.1,SE_ADT_EDUCTRN,"Participation rate in formal and non-formal education and training, by sex (%)",Monthly Employment and Income Survey. Reference period for participation in education and training: last 6 months prior to the interview. Data extracted on 13 April 2021.,,,,,,2.60555,,,,,
353,SE_ADT_EDUCTRN BOTHSEX                        ,4.0,4.3,4.3.1,SE_ADT_EDUCTRN,"Participation rate in formal and non-formal education and training, by sex (%)","Monthly Employment and Income Survey. Reference period for participation in education and training: unknown, likely last 6 months prior to the interview. Data extracted on 13 April 2021.",3.09817,3.36377,,,2.67874,,,,,,
354,SE_ADT_EDUCTRN FEMALE                        ,4.0,4.3,4.3.1,SE_ADT_EDUCTRN,"Participation rate in formal and non-formal education and training, by sex (%)",Monthly Employment and Income Survey. Reference period for participation in education and training: last 6 months prior to the interview. Data extracted on 13 April 2021.,,,,,,2.29667,,,,,
355,SE_ADT_EDUCTRN FEMALE                        ,4.0,4.3,4.3.1,SE_ADT_EDUCTRN,"Participation rate in formal and non-formal education and training, by sex (%)","Monthly Employment and Income Survey. Reference period for participation in education and training: unknown, likely last 6 months prior to the interview. Data extracted on 13 April 2021.",2.56417,3.06594,,,2.25683,,,,,,
356,SE_ADT_EDUCTRN MALE                        ,4.0,4.3,4.3.1,SE_ADT_EDUCTRN,"Participation rate in formal and non-formal education and training, by sex (%)",Monthly Employment and Income Survey. Reference period for participation in education and training: last 6 months prior to the interview. Data extracted on 13 April 2021.,,,,,,2.96938,,,,,
357,SE_ADT_EDUCTRN MALE                        ,4.0,4.3,4.3.1,SE_ADT_EDUCTRN,"Participation rate in formal and non-formal education and training, by sex (%)","Monthly Employment and Income Survey. Reference period for participation in education and training: unknown, likely last 6 months prior to the interview. Data extracted on 13 April 2021.",3.65201,3.65033,,,3.17562,,,,,,
358,SE_AGP_CPRA         LOWSEC ALLAREA             Q1  ,4.0,4.5,4.5.1,SE_AGP_CPRA,"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Guatemala DHS 2014-15. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above. Data extracted on 13 April 2021.,,,,0.46397,,,,,,,
359,SE_AGP_CPRA         LOWSEC ALLAREA             Q1  ,4.0,4.5,4.5.1,SE_AGP_CPRA,"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Guatemala Encuesta Nacional de Condiciones de Vida (ENCOVI) 2014. ECLAC calculations based on household survey data bank. Data extracted on 13 April 2021.,,,0.9548,,,,,,,,
360,SE_AGP_CPRA         LOWSEC ALLAREA             Q2  ,4.0,4.5,4.5.1,SE_AGP_CPRA,"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Guatemala DHS 2014-15. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above. Data extracted on 13 April 2021.,,,,0.71933,,,,,,,
361,SE_AGP_CPRA         LOWSEC ALLAREA             Q2  ,4.0,4.5,4.5.1,SE_AGP_CPRA,"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Guatemala Encuesta Nacional de Condiciones de Vida (ENCOVI) 2014. ECLAC calculations based on household survey data bank. Data extracted on 13 April 2021.,,,0.89503,,,,,,,,
362,SE_AGP_CPRA         LOWSEC ALLAREA             Q3  ,4.0,4.5,4.5.1,SE_AGP_CPRA,"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Guatemala DHS 2014-15. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above. Data extracted on 13 April 2021.,,,,0.84825,,,,,,,
363,SE_AGP_CPRA         LOWSEC ALLAREA             Q3  ,4.0,4.5,4.5.1,SE_AGP_CPRA,"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Guatemala Encuesta Nacional de Condiciones de Vida (ENCOVI) 2014. ECLAC calculations based on household survey data bank. Data extracted on 13 April 2021.,,,0.98579,,,,,,,,
364,SE_AGP_CPRA         LOWSEC ALLAREA             Q4  ,4.0,4.5,4.5.1,SE_AGP_CPRA,"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Guatemala DHS 2014-15. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above. Data extracted on 13 April 2021.,,,,0.92699,,,,,,,
365,SE_AGP_CPRA         LOWSEC ALLAREA             Q4  ,4.0,4.5,4.5.1,SE_AGP_CPRA,"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Guatemala Encuesta Nacional de Condiciones de Vida (ENCOVI) 2014. ECLAC calculations based on household survey data bank. Data extracted on 13 April 2021.,,,1.00089,,,,,,,,
366,SE_AGP_CPRA         LOWSEC ALLAREA             Q5  ,4.0,4.5,4.5.1,SE_AGP_CPRA,"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Guatemala DHS 2014-15. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above. Data extracted on 13 April 2021.,,,,0.97676,,,,,,,
367,SE_AGP_CPRA         LOWSEC ALLAREA             Q5  ,4.0,4.5,4.5.1,SE_AGP_CPRA,"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Guatemala Encuesta Nacional de Condiciones de Vida (ENCOVI) 2014. ECLAC calculations based on household survey data bank. Data extracted on 13 April 2021.,,,1.03057,,,,,,,,
368,SE_AGP_CPRA         LOWSEC ALLAREA             _T  ,4.0,4.5,4.5.1,SE_AGP_CPRA,"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Guatemala DHS 2014-15. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above. Data extracted on 13 April 2021.,,,,0.87036,,,,,,,
369,SE_AGP_CPRA         LOWSEC ALLAREA             _T  ,4.0,4.5,4.5.1,SE_AGP_CPRA,"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Guatemala Encuesta Nacional de Condiciones de Vida (ENCOVI) 2014. ECLAC calculations based on household survey data bank. Data extracted on 13 April 2021.,,,0.96969,,,,,,,,
370,SE_AGP_CPRA         LOWSEC RURAL             Q1  ,4.0,4.5,4.5.1,SE_AGP_CPRA,"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Guatemala DHS 2014-15. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above. Data extracted on 13 April 2021.,,,,0.33335,,,,,,,
371,SE_AGP_CPRA         LOWSEC RURAL             Q1  ,4.0,4.5,4.5.1,SE_AGP_CPRA,"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Guatemala Encuesta Nacional de Condiciones de Vida (ENCOVI) 2014. ECLAC calculations based on household survey data bank. Data extracted on 13 April 2021.,,,1.28087,,,,,,,,
372,SE_AGP_CPRA         LOWSEC RURAL             Q2  ,4.0,4.5,4.5.1,SE_AGP_CPRA,"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Guatemala DHS 2014-15. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above. Data extracted on 13 April 2021.,,,,0.65553,,,,,,,
373,SE_AGP_CPRA         LOWSEC RURAL             Q2  ,4.0,4.5,4.5.1,SE_AGP_CPRA,"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Guatemala Encuesta Nacional de Condiciones de Vida (ENCOVI) 2014. ECLAC calculations based on household survey data bank. Data extracted on 13 April 2021.,,,0.60107,,,,,,,,
374,SE_AGP_CPRA         LOWSEC RURAL             Q3  ,4.0,4.5,4.5.1,SE_AGP_CPRA,"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Guatemala DHS 2014-15. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above. Data extracted on 13 April 2021.,,,,0.82981,,,,,,,
375,SE_AGP_CPRA         LOWSEC RURAL             Q3  ,4.0,4.5,4.5.1,SE_AGP_CPRA,"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Guatemala Encuesta Nacional de Condiciones de Vida (ENCOVI) 2014. ECLAC calculations based on household survey data bank. Data extracted on 13 April 2021.,,,0.81221,,,,,,,,
376,SE_AGP_CPRA         LOWSEC RURAL             Q4  ,4.0,4.5,4.5.1,SE_AGP_CPRA,"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Guatemala DHS 2014-15. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above. Data extracted on 13 April 2021.,,,,0.93556,,,,,,,
377,SE_AGP_CPRA         LOWSEC RURAL             Q4  ,4.0,4.5,4.5.1,SE_AGP_CPRA,"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Guatemala Encuesta Nacional de Condiciones de Vida (ENCOVI) 2014. ECLAC calculations based on household survey data bank. Data extracted on 13 April 2021.,,,0.96411,,,,,,,,
378,SE_AGP_CPRA         LOWSEC RURAL             Q5  ,4.0,4.5,4.5.1,SE_AGP_CPRA,"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Guatemala DHS 2014-15. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above. Data extracted on 13 April 2021.,,,,1.04227,,,,,,,
379,SE_AGP_CPRA         LOWSEC RURAL             Q5  ,4.0,4.5,4.5.1,SE_AGP_CPRA,"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Guatemala Encuesta Nacional de Condiciones de Vida (ENCOVI) 2014. ECLAC calculations based on household survey data bank. Data extracted on 13 April 2021.,,,0.97426,,,,,,,,
380,SE_AGP_CPRA         LOWSEC RURAL             _T  ,4.0,4.5,4.5.1,SE_AGP_CPRA,"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Guatemala DHS 2014-15. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above. Data extracted on 13 April 2021.,,,,0.77079,,,,,,,
381,SE_AGP_CPRA         LOWSEC RURAL             _T  ,4.0,4.5,4.5.1,SE_AGP_CPRA,"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Guatemala Encuesta Nacional de Condiciones de Vida (ENCOVI) 2014. ECLAC calculations based on household survey data bank. Data extracted on 13 April 2021.,,,0.91838,,,,,,,,
382,SE_AGP_CPRA         LOWSEC URBAN             Q1  ,4.0,4.5,4.5.1,SE_AGP_CPRA,"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Guatemala DHS 2014-15. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above. Data extracted on 13 April 2021.,,,,1.31532,,,,,,,
383,SE_AGP_CPRA         LOWSEC URBAN             Q1  ,4.0,4.5,4.5.1,SE_AGP_CPRA,"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Guatemala Encuesta Nacional de Condiciones de Vida (ENCOVI) 2014. ECLAC calculations based on household survey data bank. Data extracted on 13 April 2021.,,,0.90162,,,,,,,,
384,SE_AGP_CPRA         LOWSEC URBAN             Q2  ,4.0,4.5,4.5.1,SE_AGP_CPRA,"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Guatemala DHS 2014-15. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above. Data extracted on 13 April 2021.,,,,0.90247,,,,,,,
385,SE_AGP_CPRA         LOWSEC URBAN             Q2  ,4.0,4.5,4.5.1,SE_AGP_CPRA,"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Guatemala Encuesta Nacional de Condiciones de Vida (ENCOVI) 2014. ECLAC calculations based on household survey data bank. Data extracted on 13 April 2021.,,,1.07146,,,,,,,,
386,SE_AGP_CPRA         LOWSEC URBAN             Q3  ,4.0,4.5,4.5.1,SE_AGP_CPRA,"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Guatemala DHS 2014-15. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above. Data extracted on 13 April 2021.,,,,0.8885,,,,,,,
387,SE_AGP_CPRA         LOWSEC URBAN             Q3  ,4.0,4.5,4.5.1,SE_AGP_CPRA,"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Guatemala Encuesta Nacional de Condiciones de Vida (ENCOVI) 2014. ECLAC calculations based on household survey data bank. Data extracted on 13 April 2021.,,,0.98203,,,,,,,,
388,SE_AGP_CPRA         LOWSEC URBAN             Q4  ,4.0,4.5,4.5.1,SE_AGP_CPRA,"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Guatemala DHS 2014-15. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above. Data extracted on 13 April 2021.,,,,0.92213,,,,,,,
389,SE_AGP_CPRA         LOWSEC URBAN             Q4  ,4.0,4.5,4.5.1,SE_AGP_CPRA,"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Guatemala Encuesta Nacional de Condiciones de Vida (ENCOVI) 2014. ECLAC calculations based on household survey data bank. Data extracted on 13 April 2021.,,,1.14049,,,,,,,,
390,SE_AGP_CPRA         LOWSEC URBAN             Q5  ,4.0,4.5,4.5.1,SE_AGP_CPRA,"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Guatemala DHS 2014-15. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above. Data extracted on 13 April 2021.,,,,0.96579,,,,,,,
391,SE_AGP_CPRA         LOWSEC URBAN             Q5  ,4.0,4.5,4.5.1,SE_AGP_CPRA,"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Guatemala Encuesta Nacional de Condiciones de Vida (ENCOVI) 2014. ECLAC calculations based on household survey data bank. Data extracted on 13 April 2021.,,,0.93886,,,,,,,,
392,SE_AGP_CPRA         LOWSEC URBAN             _T  ,4.0,4.5,4.5.1,SE_AGP_CPRA,"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Guatemala DHS 2014-15. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above. Data extracted on 13 April 2021.,,,,0.94473,,,,,,,
393,SE_AGP_CPRA         LOWSEC URBAN             _T  ,4.0,4.5,4.5.1,SE_AGP_CPRA,"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Guatemala Encuesta Nacional de Condiciones de Vida (ENCOVI) 2014. ECLAC calculations based on household survey data bank. Data extracted on 13 April 2021.,,,0.98776,,,,,,,,
394,SE_AGP_CPRA         PRIMAR ALLAREA             Q1  ,4.0,4.5,4.5.1,SE_AGP_CPRA,"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Guatemala DHS 2014-15. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above. Data extracted on 13 April 2021.,,,,0.92192,,,,,,,
395,SE_AGP_CPRA         PRIMAR ALLAREA             Q1  ,4.0,4.5,4.5.1,SE_AGP_CPRA,"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Guatemala Encuesta Nacional de Condiciones de Vida (ENCOVI) 2014. ECLAC calculations based on household survey data bank. Data extracted on 13 April 2021.,,,0.88321,,,,,,,,
396,SE_AGP_CPRA         PRIMAR ALLAREA             Q2  ,4.0,4.5,4.5.1,SE_AGP_CPRA,"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Guatemala DHS 2014-15. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above. Data extracted on 13 April 2021.,,,,0.91082,,,,,,,
397,SE_AGP_CPRA         PRIMAR ALLAREA             Q2  ,4.0,4.5,4.5.1,SE_AGP_CPRA,"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Guatemala Encuesta Nacional de Condiciones de Vida (ENCOVI) 2014. ECLAC calculations based on household survey data bank. Data extracted on 13 April 2021.,,,1.05698,,,,,,,,
398,SE_AGP_CPRA         PRIMAR ALLAREA             Q3  ,4.0,4.5,4.5.1,SE_AGP_CPRA,"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Guatemala DHS 2014-15. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above. Data extracted on 13 April 2021.,,,,0.9374,,,,,,,
399,SE_AGP_CPRA         PRIMAR ALLAREA             Q3  ,4.0,4.5,4.5.1,SE_AGP_CPRA,"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Guatemala Encuesta Nacional de Condiciones de Vida (ENCOVI) 2014. ECLAC calculations based on household survey data bank. Data extracted on 13 April 2021.,,,1.03542,,,,,,,,
400,SE_AGP_CPRA         PRIMAR ALLAREA             Q4  ,4.0,4.5,4.5.1,SE_AGP_CPRA,"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Guatemala DHS 2014-15. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above. Data extracted on 13 April 2021.,,,,1.00126,,,,,,,
