Index,pdf_name,definition
4.4.1,SDG-indicator-pdfs/Metadata-04-04-01.pdf,"The proportion of youth and adults with information and communications technology (ICT) skills, by type of skill as defined as the percentage of individuals that have undertaken certain ICT-related activities in the last 3 months. The indicator is expressed as a percentage."
4.5.1,SDG-indicator-pdfs/Metadata-04-05-01.pdf,"Parity indices require data for the specific groups of interest. They represent the ratio of the indicator value for one group to that of the other. Typically, the likely more disadvantaged group is placed in the numerator. A value of exactly 1 indicates parity between the two groups."
4.6.1,SDG-indicator-pdfs/Metadata-04-06-01.pdf,The proportion of youth (aged 15-24 years) and of adults (aged 15 years and above) who have achieved or exceeded a fixed level of proficiency in (a) literacy and (b) numeracy.
4.7.1,SDG-indicator-pdfs/Metadata-04-07-01.pdf,"Indicator 4.7.1/12.8.1/13.3.1 measures the extent to which countries mainstream Global Citizenship Education (GCED) and Education for Sustainable Development (ESD) in their education systems. This is an indicator of characteristics of different aspects of education systems: education policies, curricula, teacher training and student assessment as reported by government officials, ideally following consultation with Last updated: 7 May 2021 other government ministries, national human rights institutes, the education sector and civil society organizations. It measures what governments intend and not what is implemented in practice in schools and classrooms. For each of the four components of the indicator (policies, curricula, teacher education, and student assessment), a number of criteria are measured, which are then combined to give a single score between zero and one for each component. (See methodology section for full details.) The indicator and its methodology have been reviewed and endorsed by UNESCO’s Technical Cooperation Group on the Indicators for SDG 4-Education 2030 (TCG), which is responsible for the development and maintenance of the thematic indicator framework for the follow-up and review of SDG 4. The TCG also has an interest in education-related indicators in other SDGs, including global indicators 12.8.1 and 13.3.1. The TCG is composed of 38 regionally representative experts from UNESCO Member States (nominated by the respective geographic groups of UNESCO), as well as international partners, civil society, and the Co-Chair of the Education 2030 Steering Committee. The UNESCO Institute for Statistics acts as the Secretariat."
4.a.1,SDG-indicator-pdfs/Metadata-04-0a-01.pdf,
4.b.1,SDG-indicator-pdfs/Metadata-04-0B-01.pdf,Gross disbursements of total ODA from all donors for scholarships. Rationale: Total ODA flows to developing countries quantify the public effort that donors provide to developing countries for scholarships.
4.c.1,SDG-indicator-pdfs/Metadata-04-0C-01.pdf,"The percentage of teachers by level of education taught (pre-primary, primary, lower secondary and upper secondary education) who have received at least the minimum organized pedagogical teacher training pre-service and in-service required for teaching at the relevant level in a given country Rationale: Teachers play a key role in ensuring the quality of education provided. Ideally all teachers should receive adequate, appropriate and relevant pedagogical training to teach at the chosen level of education and be academically well-qualified in the subject(s) they are expected to teach. This indicator measures the share of the teaching work force which is pedagogically well-trained. A high value indicates that students are being taught by teachers who are pedagogically well-trained to teach."
5.1.1,SDG-indicator-pdfs/Metadata-05-01-01.pdf,
5.2.1,SDG-indicator-pdfs/Metadata-05-02-01.pdf,"This indicator measures the percentage of ever-partnered women and girls aged 15 years and older who have experienced physical, sexual or psychological violence by a current or former intimate partner, in the previous 12 months. Definition of violence against women and girls and of the forms of violence specified under this indicator are presented in the next section (Concepts). NOTE: We refer to “violence against women” throughout, and this also includes adolescent girls (15-19 years old)."
5.2.2,SDG-indicator-pdfs/Metadata-05-02-02.pdf,"This indicator measures the percentage of women and girls aged 15 years and older who have experienced sexual violence by persons other than an intimate partner, in the previous 12 months. Definition of sexual violence against women and girls is presented in the next section (Concepts). Rationale: Violence against women and girls is one of the most pervasive forms of human rights violations in the world. Evidence has shown that globally, an estimated 7% of women have been sexually assaulted by someone other than a partner at some point in their lives (WHO et al., 2013). Having data on this indicator will help understand the extent and nature of this form of violence and develop appropriate policies and programmes."
5.3.1,SDG-indicator-pdfs/Metadata-05-03-01.pdf,Proportion of women aged 20-24 years who were married or in a union before age 15 and before age 18
5.3.2,SDG-indicator-pdfs/Metadata-05-03-02.pdf,"Proportion of girls and women aged 15-49 years who have undergone female genital mutilation. 1 The official indicator name refers to ‘female genital mutilation/cutting’, or FGM/C. In recent years the convention within UNICEF and partner organizations has shifted to referring to ‘female genital mutilation’, or FGM, a term which is now used interchangeably with FGM/C throughout the metadata. Other common terms for the practice include ‘female circumcision’ and ‘excision’. The custodian will request the IAEG-SDGs to consider a refinement of the indicator name to reflect this change for consideration at the UN Statistical Commission in 2022. Last updated: March 2021 This indicator can be measured among smaller age groups, with the experience of younger women representing FGM/C that has occurred more recently and the experience of older women representing levels of the practice in the past. At the regional and global level, this indicator is currently being reported as the proportion of adolescent girls aged 15-19 years who have undergone female genital mutilation."
5.4.1,SDG-indicator-pdfs/Metadata-05-04-01.pdf,"1 https://unstats.un.org/unsd/statcom/51st-session/documents/BG-Item3m-PolicyRelevance-E.pdf Last updated: 29 September 2021 This indicator is defined as the proportion of time spent in a day on unpaid domestic and care work by men and women. Unpaid domestic and care work refers to activities related to the provision of services for own final use by household members, or by family members living in other households. These activities are listed in ICATUS 2016 under the major divisions “3. Unpaid domestic services for household and family members” and “4. Unpaid caregiving services for household and family members”."
5.5.1,SDG-indicator-pdfs/Metadata-05-05-01a.pdf,"The proportion of seats held by women in (a) national parliaments, currently as at 1 January of reporting year, is currently measured as the number of seats held by women members in single or lower chambers of national parliaments, expressed as a percentage of all occupied seats. National parliaments can be bicameral or unicameral. This indicator covers the single chamber in unicameral parliaments and the lower chamber in bicameral parliaments. It does not cover the upper chamber of bicameral parliaments. Seats are usually won by members in general parliamentary elections. Last updated: 24 August 2021 Seats may also be filled by nomination, appointment, indirect election, rotation of members and by-election. Seats refer to the number of parliamentary mandates, or the number of members of parliament."
5.5.2,SDG-indicator-pdfs/Metadata-05-05-02.pdf,"This indicator refers to the proportion of females in the total number of persons employed in managerial positions. It is recommended to use two different measures jointly for this indicator: the share of females in (total) management and the share of females in senior and middle management (thus excluding junior management). The joint calculation of these two measures provides information on whether women are more represented in junior management than in senior and middle management, thus pointing to an eventual ceiling for women to access higher-level management positions. In these cases, calculating only the share of women in (total) management would be misleading, in that it would suggest that women hold positions with more decision-making power and responsibilities than they actually do."
5.6.1,SDG-indicator-pdfs/Metadata-05-06-01.pdf,
5.6.2,SDG-indicator-pdfs/Metadata-05-06-02.pdf,"Sustainable Development Goal (SDG) Indicator 5.6.2 seeks to measure the extent to which countries have national laws and regulations that guarantee full and equal access to women and men aged 15 years and older to sexual and reproductive health care, information and education. Last updated: March 2021 The indicator is a percentage (%) scale of 0 to 100 (national laws and regulations exist to guarantee full and equal access), indicating a country’s status and progress in the existence of such national laws and regulations. Indicator 5.6.2 measures only the existence of laws and regulations; it does not measure their implementation."
5.a.1,SDG-indicator-pdfs/Metadata-05-0a-01.pdf,
5.a.2,SDG-indicator-pdfs/Metadata-05-0A-02.pdf,"Indicator 5.a.2 looks at the extent to which the legal framework (including customary law) guarantees women’s equal rights to land ownership and/or control. The indicator “measures” the level to which a country’s legal framework supports women’s land rights, by testing that framework against six proxies drawn from international law and internationally accepted good practices , in particular the Convention on the Elimination of Discrimination Against Women (CEDAW) ratified by 189 countries, and the Voluntary Guidelines for the Responsible Governance of the Tenure of Land Fisheries and Forestry (VGGT) endorsed unanimously by Committee of Food Security (CFS) members in 2012. Last updated: 10 February 2021 The six proxies through which indicator 5.a.2 is monitored are the following: Proxy A: Joint registration of land compulsory or encouraged through economic incentives Proxy B: Compulsory spousal consent for land transactions Proxy C: Women’s and girls’ equal inheritance rights Proxy D: Allocation of financial resources to increase women’s ownership and control over land Proxy E: In legal systems that recognise customary land tenure, existence of explicit protection of the land rights of women Proxy F: Mandatory quotas for women’s participation in land management and administration institutions"
5.b.1,SDG-indicator-pdfs/Metadata-05-0b-01.pdf,"The proportion of individuals who own a mobile telephone, by sex is defined as the ‘proportion of individuals who own a mobile telephone, by sex’."
5.c.1,SDG-indicator-pdfs/Metadata-05-0c-01.pdf,
6.1.1,SDG-indicator-pdfs/Metadata-06-01-01.pdf,"Proportion of population using safely managed drinking water services is currently being measured by the proportion of population using an improved basic drinking water source which is located on premises, available when needed and free of faecal (and priority chemical) contamination. ‘Improved’ drinking water sources include: piped water into dwelling, yard or plot; public taps or standpipes; boreholes or tubewells; protected dug wells; protected springs; packaged water; delivered water and rainwater. Rationale: MDG target 7C called for ‘sustainable access’ to ‘safe drinking water’. At the start of the MDG period, there was a complete lack of nationally representative data about drinking water safety in developing countries, and such data were not collected through household surveys or censuses. The JMP developed the concept of ‘improved’ water sources, which was used as a proxy for ‘safe water’, as such sources are likely to be protected against faecal contamination, and this metric has been used since 2000 to track progress towards the MDG target. International consultations since 2011 have established consensus on the need to build on and address the shortcomings of this indicator; specifically, to address normative criteria of the human right to water including accessibility, availability and quality. The above consultation concluded that JMP should go beyond the basic level of access and address safe management of drinking water services, including dimensions of accessibility, availability and quality. The proposed indicator of ‘safely managed drinking water services’ is designed to address this."
6.2.1,SDG-indicator-pdfs/Metadata-06-02-01.pdf,"The Proportion of population using safely managed sanitation services, including a hand-washing facility with soap and water is currently being measured by the proportion of the population using a basic sanitation facility which is not shared with other households and where excreta is safely disposed in situ or treated off-site. ‘Improved’ sanitation facilities include: flush or pour flush toilets to sewer systems, septic tanks or pit latrines, ventilated improved pit latrines, pit latrines with a slab, and composting toilets. Population with a basic handwashing facility: a device to contain, transport or regulate the flow of water to facilitate handwashing with soap and water in the household. Rationale: MDG target 7C called for ‘sustainable access’ to ‘basic sanitation’. The JMP developed the metric of use of ‘improved’ sanitation facilities, which are likely to hygienically separate human excreta from human contact, and has used this indicator to track progress towards the MDG target since 2000. International consultations since 2011 have established consensus on the need to build on and address the shortcomings of this indicator; specifically, to address normative criteria of the human right to water including accessibility, acceptability, and safety. Furthermore, the safe management of faecal wastes should be considered, as discharges of untreated wastewater into the environment create public health hazards. The above consultation concluded that post-2015 targets, which apply to all countries, should go beyond the basic level of access and address indicators of safe management of sanitation services, including dimensions of accessibility, acceptability and safety. The Expert Working Group called for analysis of faecal waste management along the sanitation chain, including containment, emptying of latrines and septic tanks, and safe on-site disposal or the transport and treatment of wastes at a designated Last updated: 29 September 2017 treatment site. Classification of treatment will be based on categories defined by SEEA and the International Recommendations for Water Statistics and following a laddered approach (primary, secondary and tertiary treatment). Handwashing with soap is widely agreed to be the top hygiene priority for improving health outcomes. In 2008 and 2009, the JMP supported a review of indicators of handwashing practice, and determined that the most practical approach leading to reliable measurement of handwashing in national household surveys was observation of the place where household members wash their hands and noting the presence of water and soap (or local alternative) at that location. This provides a measure of whether households have the necessary tools for handwashing and is a proxy for their behaviour. Observation by survey enumerators represents a more reliable, valid and efficient indicator for measuring handwashing behaviour than asking individuals to report their own behaviour."
6.3.1,SDG-indicator-pdfs/Metadata-06-03-01.pdf,"This indicator measures the volumes of wastewater which are generated through different activities, and the volumes of wastewater which are safely treated before discharge into the environment. Both of these indicators are measured in units of 1000 m3/day, although some data sources may use other units that require conversion. The ratio of the volume treated to the volume generated is taken as the ‘proportion of wastewater flow safely treated’. Wastewater flows will be classified into industrial, services, and domestic flows, with reference to the International Standard Industrial Classification of All Economic Activities Revision 4 (ISIC). To the extent possible, the proportion of each of these waste streams that is safely treated before discharge to the environment will be calculated. Rationale: Wastewater data are crucial to promote strategies for sustainable and safe wastewater use or reuse to the benefit of the world’s population health and the global environment, but also to respond to growing water demands, increasing water pollution loads, and climate change impacts on water resources. Sustainable Development Goal 6 (SDG 6) is about ensuring the availability and sustainability of water and sanitation for all by 2030. SDG Target 6.3 sets out to improve ambient water quality, which is essential to protecting both ecosystem and human health, by eliminating, minimizing and significantly reducing different streams of pollution into water bodies. The purpose of monitoring progress using SDG indicator 6.3.1 is to provide necessary and timely information to decision makers and stakeholders to make informed decisions to accelerate progress towards reducing water pollution, minimizing release of hazardous chemicals and increasing wastewater treatment and reuse. The target wording covers wastewater recycling and safe reuse with implication on water use efficiency, although it is not fully addressed by the global indicator and methodology. Last updated: 14 September 2020 SDG indicator 6.3.1 tracks the proportion of wastewater flows from households, services and industrial economic activities that are safely treated at the source or through centralized wastewater treatment plants before being discharged into the environment, out of the total volume of wastewater generated."
6.3.2,SDG-indicator-pdfs/Metadata-06-03-02.pdf,"The indicator is defined as the proportion of water bodies in the country that have good ambient water quality. Ambient water quality refers to natural, untreated water in rivers, lakes and groundwaters and represents a combination of natural influences together with the impacts of all anthropogenic activities. The indicator relies on water quality data derived from in situ measurements and the analysis of samples collected from surface and groundwaters. Water quality is assessed by means of core physical and chemical parameters that reflect natural water quality related to climatological and geological factors, together with major impacts on water quality. The continuous monitoring of all surface and groundwaters is economically unfeasible and not required to sufficiently characterize the status of ambient water quality in a country. Therefore, countries select river, lake and groundwater bodies that are representative and significant for the assessment and management of water quality to monitor and report on indicator 6.3.2. The quality status of individual water bodies is classified based on the compliance of the available water quality Last updated: 2 February 2021 monitoring data for the core parameters with target values defined by the country. The indicator is computed as the proportion of the number of water bodies classified as having good quality (i.e. with at least 80 % compliance) to the total number of assessed water bodies, expressed as a percentage."
6.4.1,SDG-indicator-pdfs/Metadata-06-04-01.pdf,"The change in water use efficiency over time (CWUE). The change in the ratio of the value added to the volume of water use, over time. Last updated: July 2021 Water Use Efficiency (WUE) is defined as the value added of a given major sector1 divided by the volume of water used. Following ISIC 4 coding, sectors are defined as: 1. agriculture; forestry; fishing (ISIC A), hereinafter “agriculture”; 2. mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply; constructions (ISIC B, C, D and F), hereinafter “MIMEC”; 3. all the service sectors (ISIC E and ISIC G-T), hereinafter “services”."
6.4.2,SDG-indicator-pdfs/Metadata-06-04-02.pdf,"Last updated: July 2021 The level of water stress: freshwater withdrawal as a proportion of available freshwater resources is the ratio between total freshwater withdrawn by all major sectors and total renewable freshwater resources, after taking into account environmental flow requirements. Main sectors, as defined by ISIC standards, include agriculture; forestry and fishing; manufacturing; electricity industry; and services. This indicator is also known as water withdrawal intensity."
6.5.1,SDG-indicator-pdfs/Metadata-06-05-01.pdf,"Indicator 6.5.1 is ‘degree of integrated water resources management implementation’. It measures the stages of development and implementation of Integrated Water Resources Management (IWRM), on a Last updated: 2 February 2021 scale of 0 to 100, in six categories (see Rationale section). The indicator score is calculated from a country survey with 33 questions, with each question scored on the same scale of 0-100. The definition of IWRM is based on an internationally agreed definition, and is universally applicable. IWRM was officially established in 1992 and is defined as “a process which promotes the coordinated development and management of water, land and related resources in order to maximise economic and social welfare in an equitable manner without compromising the sustainability of vital ecosystems.” (GWP 2010). The method builds on official UN IWRM status reporting, from 2008 and 2012, of the Johannesburg Plan of Implementation from the UN World Summit for Sustainable Development (1992)."
6.5.2,SDG-indicator-pdfs/Metadata-06-05-02.pdf,"The indicator monitors the “transboundary basin” area within a country covered by an “operational” “arrangement for water cooperation”. A “transboundary basin” refers to a river or lake basin, or an aquifer system that marks, crosses or is located on boundaries between two or more states. A basin comprises the entire catchment area of a surface water body (river or lake), or for groundwater, the area of the aquifer, i.e. the entire permeable water-bearing geological formation. For the purpose of calculating the value of SDG indicator 6.5.2 the transboundary basin area is the extent of the catchment area (river or lake basin); or the extent of the aquifer. Last updated: July 2021 “Arrangement for water cooperation” refers to a bilateral or multilateral treaty, convention, agreement or other formal arrangement, such as memorandum of understanding between countries sharing transboundary basins that provides a framework for cooperation on transboundary water management. Agreements or other kinds of formal arrangements may be interstate, intergovernmental, interministerial, interagency or between regional authorities. “Operational” means that an agreement for cooperation between the countries sharing transboundary basins meets all the following criteria: - There is a joint body or mechanism (e.g. a river basin organization) for transboundary cooperation; - There are regular, i.e., at least annual, formal communications between riparian countries in form of meetings (either at the political and/or technical level); - There is a joint or coordinated water management plan(s), or joint objectives have been set; - There is a regular, i.e., at least annual, exchange of data and information."
6.6.1,SDG-indicator-pdfs/Metadata-06-06-01a.pdf,"Indicator 6.6.1 tracks the extent to which different types of water-related ecosystems are changing in extent over time. The indicator is multifaceted capturing data on different types of freshwater ecosystems and to measure extent change the indicator considers spatial area changes, water quality and water quantity changes. The indicator uses satellite based Earth observations to globally monitor different freshwater ecosystems types Earth observation data series on surface area are available on permanent water, seasonal water, reservoirs, wetlands, mangroves; as well as generating data on water quality the using trophic state and turbidity of water bodies. Satellite images can be represented as numerical data, which in turn are aggregated into meaningful statistics of ecosystem change attributed to administrative areas such as national, sub-national (e.g. regions and provinces) and river basin boundaries. Global data products for river flows and groundwater level have not yet been produced at useful spatial and temporal resolutions to be incorporated into this SDG 6.6.1 methodology. Currently, these data should continue to be provided from modelling or from ground-based measurements and required from the countries. SDG indicator 6.6.1 data derived from Earth observations Ecosystem Unit Features Lakes & Rivers surface area annual and multi-annual changes in permanent water area (1984-present) statistics for new and lost permanent water (2000-2019) statistics aggregated at national, sub-national & basin scales Lakes & Rivers surface area annual and multi-annual changes in seasonal water area (1984-present) statistics for new and lost seasonal water (2000-2019) annual seasonality statistics for periods: 0-1, 3-6, 7-11 months statistics aggregated at national, sub-national & basin scales Reservoirs surface area water quality annual and multi-annual changes in reservoir surface area (1984-prsent) statistics for new and lost reservoir area (2000-2019) statistics aggregated at national, sub-national & basin scales Monthly, annual and multi-annual measurements of trophic state and turbidity for 4,200 lakes and reservoirs globally (at 300m resolution) Last updated: July 2021 Mangroves surface area annual and multi-annual changes in mangrove area (2000-2016) statistics aggregated at national, sub-national & basin scales Wetlands surface area wetlands area (baseline area comprised of data btw 2016-2018) statistics aggregated at national, sub-national & basin scales wetlands area changes will be included starting in 2021/22 Lakes water quality Monthly, annual and multi-annual measurements of trophic state and turbidity for 4,200 lakes and reservoirs globally (at 300m resolution) SDG indicator 6.6.1 data derived from national in-situ measurements Ecosystem Unit Features Rivers flow modelled natural runoff/streamflow and/or in-situ stream/river flow measurements, aggregated over time, of all major rivers Groundwater level Changes to volume measurements, over time, of all major groundwater aquifers"
6.a.1,SDG-indicator-pdfs/Metadata-06-0A-01.pdf,Amount of water- and sanitation-related official development assistance that is part of a government-coordinated spending plan is defined as the proportion of total water and sanitation-related Official Development Assistance (ODA) disbursements that are included in the government budget. Rationale: The amount of water and sanitation-related Official Development Assistance (ODA) is a quantifiable measurement as a proxy for “international cooperation and capacity development support” in financial terms. It is essential to be able to assess ODA in proportion with how much of it is included in the government budget to gain a better understanding of whether donors are aligned with national governments while highlighting total water and sanitation ODA disbursements to developing countries over time. A low value of this indicator (near 0%) would suggest that international donors are investing in water and sanitation related activities and programmes in the country outside the purview of the national government. A high value (near 100%) would indicate that donors are aligned with national government and national policies and plans for water and sanitation.
6.b.1,SDG-indicator-pdfs/Metadata-06-0B-01.pdf,"The indicator assesses the percentage of local administrative units (as defined by the national government) that have an established and operational mechanism by which individuals and communities can meaningfully contribute to decisions and directions about water and sanitation management. The indicator Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management is currently being measured by the Proportion of countries with clearly defined procedures in law or policy for participation by service users/communities in planning program in water and sanitation management, and hygiene promotion and the Proportion of countries with high level of users/communities participating in planning programs in water and sanitation management, and hygiene promotion. Rationale: Defining the procedures in policy or law for the participation of local communities is vital to ensure the needs of all the community are met, including the most vulnerable and also encourages ownership of schemes which in turn contributes to their sustainability. A low value of this indicator would suggest that participation of local communities in water and sanitation management is low, whereas a high value would indicate high levels of participation, indicating greater ownership and a higher likelihood of sustainable delivery and management of water and sanitation services. Last updated: 11 July 2017"
7.1.1,SDG-indicator-pdfs/Metadata-07-01-01.pdf,"Proportion of population with access to electricity is the percentage of population with access to electricity. SDG7 ensures access to affordable, reliable, sustainable and modern energy for all. Specifically, Indicator 7.1.1 refers to the proportion of population with access to electricity. This is expressed in percentage figures and is disaggregated by total, urban and rural access rates per country, as well as by UN regional and global classifications."
7.1.2,SDG-indicator-pdfs/Metadata-07-01-02.pdf,"Proportion of population with primary reliance on clean fuels and technology is calculated as the number of people using clean fuels and technologies for cooking, heating and lighting divided by total population reporting that any cooking, heating or lighting, expressed as percentage. “Clean” is defined by the emission rate targets and specific fuel recommendations (i.e. against unprocessed coal and kerosene) included in the normative guidance WHO guidelines for indoor air quality: household fuel combustion."
7.2.1,SDG-indicator-pdfs/Metadata-07-02-01.pdf,The renewable energy share in total final consumption is the percentage of final consumption of energy that is derived from renewable resources.
7.3.1,SDG-indicator-pdfs/Metadata-07-03-01.pdf,Energy intensity is defined as the energy supplied to the economy per unit value of economic output.
7.a.1,SDG-indicator-pdfs/Metadata-07-0a-01.pdf,
7.b.1,SDG-indicator-pdfs/Metadata-07-0b-01.pdf,The indicator is defined as the installed capacity of power plants that generate electricity from renewable energy sources divided by the total population of a country. Capacity is defined as the net maximum electrical capacity installed at the year-end and renewable energy sources are as defined in the IRENA Statute (see concepts below).
8.1.1,SDG-indicator-pdfs/Metadata-08-01-01.pdf,
8.2.1,SDG-indicator-pdfs/Metadata-08-02-01.pdf,The annual growth rate of real GDP per employed person conveys the annual percentage change in real Gross Domestic Product per employed person.
8.3.1,SDG-indicator-pdfs/Metadata-08-03-01.pdf,"This indicator presents the share of employment which is classified as informal employment in the total economy, and separately in agriculture and in non-agriculture."
8.4.1,SDG-indicator-pdfs/Metadata-08-04-01.pdf,"Material Footprint (MF) is the attribution of global material extraction to domestic final demand of a country. The total material footprint is the sum of the material footprint for biomass, fossil fuels, metal ores and non-metal ores."
8.4.2,SDG-indicator-pdfs/Metadata-08-04-02.pdf,Domestic Material Consumption (DMC) is a standard material flow accounting (MFA) indicator and reports the apparent consumption of materials in a national economy.
8.5.1,SDG-indicator-pdfs/Metadata-08-05-01.pdf,"This indicator provides information on the mean hourly earnings from paid employment of employees by sex, occupation, age and disability status."
8.5.2,SDG-indicator-pdfs/Metadata-08-05-02.pdf,The unemployment rate conveys the percentage of persons in the labour force who are unemployed.
8.6.1,SDG-indicator-pdfs/Metadata-08-06-01.pdf,"This indicator conveys the proportion of youth (aged 15-24 years) not in education, employment or training (also known as ""the youth NEET rate"")."
8.7.1,SDG-indicator-pdfs/Metadata-08-07-01.pdf,"The number of children engaged in child labour corresponds to the number of children reported to be in child labour during the reference period (usually the week prior to the survey). The proportion of children in child labour is calculated as the number of children in child labour divided by the total number of children in the population. For the purposes of this indicator, children include all persons aged 5 to 17."
8.8.1,SDG-indicator-pdfs/Metadata-08-08-01.pdf,"This indicator provides information on the number of fatal and non-fatal occupational injuries per 100,000 workers in the reference group during the reference period. It is a measure of the personal likelihood or risk of having a fatal or a non-fatal occupational injury for each worker in the reference group. The number of occupational injuries expressed per a given number of workers in the reference group is also known as the incidence rate of occupational injuries"
8.8.2,SDG-indicator-pdfs/Metadata-08-08-02.pdf,"The indicator measures the level of national compliance with fundamental rights at work (freedom of association and collective bargaining, FACB) for all ILO member states based on six international ILO supervisory body textual sources and also on national legislation. It is based on the coding of textual sources against a list of evaluation criteria and then converting the coding into indicators."
8.9.1,SDG-indicator-pdfs/Metadata-08-09-01.pdf,"Tourism Direct GDP (TDGDP) is defined as the sum of the part of gross value added (at basic prices) generated by all industries in response to internal tourism consumption plus the amount of net taxes on products and imports included within the value of this expenditure at purchasers’ prices. The indicator relies on the Tourism Satellite Account: Recommended Methodological Framework 2008, an international standard adopted by the UN Statistical Commission and elaborated by UNWTO, OECD and EUROSTAT."
8.10.1,SDG-indicator-pdfs/Metadata-08-10-01.pdf,"The number of commercial bank branches per 100,000 adults The number of automated teller machines (ATMs) per 100,000 adults"
8.10.2,SDG-indicator-pdfs/Metadata-08-10-02.pdf,"The percentage of adults (ages 15+) who report having an account (by themselves or together with someone else) at a bank or another type of financial institution or personally using a mobile money service in the past 12 months. Rationale: Access to formal financial services such as savings, insurance, payments, credit and remittances is essential to the ability of people—regardless of income level, gender, age, education or where they live—to manage their lives, build their futures, and grow their businesses. Having access to an account is an important starting point for people to access arange of financial services."
8.a.1,SDG-indicator-pdfs/Metadata-08-0A-01.pdf,Aid for Trade commitments and disbursements is the gross disbursements and commitments of total Official Development Assistance (ODA) from all donors for aid for trade. Rationale: Total Official Development Assistance (ODA) and Other Official Flows (OOF) to developing countries quantify the public effort that donors provide to developing countries for aid for trade.
8.b.1,SDG-indicator-pdfs/Metadata-08-0b-01.pdf,
9.1.1,SDG-indicator-pdfs/Metadata-09-01-01.pdf,"The indicator (commonly known as the Rural Access Index or RAI) measures the share of a country’s rural population that lives within 2 km of an all-season road. Rationale: Among other factors, transport connectivity is an essential part of the enabling environment for inclusive and sustained growth. In developing countries, particularly in Africa, the vast majority of agricultural production remains smallholder farming with limited access to local, regional, or global markets. Isolated manufacturing and other local businesses (except for those related to mining) often lag behind in the global market. Limited transport connectivity is also a critical constraint to accessing social and administrative services, especially in rural areas where the majority of the poor live. Rural access is key to unleashing untapped economic potential and eradicating poverty in many developing countries. In the short term, transport costs and travel time can be reduced by improved road conditions. Over the longer term, agricultural productivity will be increased, and firms will become more profitable with the creation of more jobs, eventually helping to alleviate poverty. To make good investments, quality data are required. Since resources are limited, it is essential to understand where the most critical unmet needs exist, and monitor efforts made over time. In the transport sector, there are few global indicators. The quality of roads is often unknown and a matter of concern in developing countries. In Africa, the Road Management Initiative, started by the Africa Transport Policy Program in the late 1990s, developed a road sector database, which includes road network condition data such as the share of roads in good or bad condition. But this database is largely outdated and insufficient. The Rural Access Index (RAI), originally developed by the World Bank in 2006, is among the most important global development indicators in the transport sector, providing a strong, clearly understandable and conceptually consistent indicator across countries. It measures the proportion of people living in rural areas who have access to an all-season road within a walking distance of approximately 2 kilometres (km). Although the underlying methodology has been updated to leverage Last updated: September 2020 additional sources of data, the RAI remains the most widely accepted metric for tracking access to transport in rural areas. The RAI has four primary benefits: sustainability due to its reliance on already existing data, consistency in methodology across countries and time, simplicity in understanding, and operational relevance for the government agencies responsible for generating and aggregating the underlying data."
9.1.2,SDG-indicator-pdfs/Metadata-09-01-02.pdf,"Passenger and freight volumes are respectively measured in passenger-km and tonne-km, and broken down by mode of transport. For the purposes of monitoring this indicator, passenger-km data are split between aviation, road (broken down between passenger cars, buses and motorcycles) and rail, and tonne-km are split between aviation, road, rail and inland waterways. As maritime data are not widely available, only tonnes (rather than tonne-km) data at the regional level have been shared. Rationale: Develop quality, reliable, sustainable and resilient infrastructure, including regional and trans-border infrastructure, to support economic development and human well-being, with a focus on affordable and equitable access for all. Trans-border infrastructure development is best captured by passenger and freight volumes moved by Member States and Regions. A growth in passenger and freight volumes shows a robust infrastructure development happening in States and Regions along with the resultant socio-economic benefit. Air Transport is particularly important not only for the economic and job benefits but also because it is one of the only mode of transport that can be relied on during emergencies and disease outbreaks to reach food, medicines, medical personnel, vaccines and other supplies speedily to the affected persons in the affected areas. In addition, tracking how the non-road share of freight volumes, and the public transport share of passenger volumes, changes over time allows insights into the overall sustainability of the global transport system."
9.2.1,SDG-indicator-pdfs/Metadata-09-02-01.pdf,
9.2.2,SDG-indicator-pdfs/Metadata-09-02-02.pdf,
9.3.1,SDG-indicator-pdfs/Metadata-09-03-01.pdf,
9.3.2,SDG-indicator-pdfs/Metadata-09-03-02.pdf,
9.4.1,SDG-indicator-pdfs/Metadata-09-04-01.pdf,
9.5.1,SDG-indicator-pdfs/Metadata-09-05-01.pdf,Research and development (R&D) expenditure as a proportion of Gross Domestic Product (GDP) is the amount of R&D expenditure divided by the total output of the economy. Rationale: The indicator is a direct measure of Research and development (R&D) spending referred to in the target.
9.5.2,SDG-indicator-pdfs/Metadata-09-05-02.pdf,The researchers (in full-time equivalent) per million inhabitants is a direct measure of the number of research and development workers per 1 million people. Rationale: The indicator is a direct measure of the number of research and development workers per 1 million people referred to in the target.
9.a.1,SDG-indicator-pdfs/Metadata-09-0A-01.pdf,Gross disbursements of total ODA and other official flows from all donors in support of infrastructure. Rationale: Total ODA and OOF flows to developing countries quantify the public effort (excluding export credits) that donors provide to developing countries for infrastructure.
9.b.1,SDG-indicator-pdfs/Metadata-09-0B-01.pdf,
9.c.1,SDG-indicator-pdfs/Metadata-09-0c-01.pdf,
